schema_version,feature_id,airport_id,feature_type,status_raw,feature_name,access_mode,access_minutes,latitude_wgs84,longitude_wgs84,distance_km,walk_minutes,bicycle_minutes,car_minutes,recommended_mode,recommended_minutes,verified_target_name,source,data_checked_at
1.2,EDBN:beach,EDBN,beach,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDBN:lake,EDBN,lake,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDBN:mountain,EDBN,mountain,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDBN:wellness,EDBN,wellness,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDCG:techstop,EDCG,techstop,Nein,,,,,,,,,,,,,,2026-08-02
1.2,EDCG:breakfast,EDCG,breakfast,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDCG:city,EDCG,city,Nein,,,,,,,,,,,,,,2026-08-04
1.2,EDCG:beach,EDCG,beach,Nein,,,,,,,,,,,,,https://www.ruegen.de/,2026-08-13
1.2,EDCG:lake,EDCG,lake,Nein,,,,,,,,,,,,,https://www.ruegen.de/,2026-08-02
1.2,EDCG:mountain,EDCG,mountain,Nein,,,,,,,,,,,,,https://www.ruegen.de/,2026-08-02
1.2,EDCG:wellness,EDCG,wellness,Nein,,,,,,,,,,,,,https://www.ruegen.de/,2026-08-02
1.2,EDFM:techstop,EDFM,techstop,Ja,"Sehr verlässlicher Kraftstoffstopp, nicht der billigste.",,,,,,,,,,,Rhein-Neckar-Knoten für Nord-Süd- und Ost-West-Strecken,https://www.flugplatz-mannheim.de/privatpiloten/,2026-08-03
1.2,EDFM:breakfast,EDFM,breakfast,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDFM:city,EDFM,city,Nein,,,,,,,,,,,,,,2026-08-04
1.2,EDFM:beach,EDFM,beach,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDFM:lake,EDFM,lake,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDFM:mountain,EDFM,mountain,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDFM:wellness,EDFM,wellness,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDFR:techstop,EDFR,techstop,Nein,,,,,,,,,,,,,,2026-08-02
1.2,EDFR:breakfast,EDFR,breakfast,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDFR:city,EDFR,city,Nein,,,,,,,,,,,,,,2026-08-04
1.2,EDFR:beach,EDFR,beach,Nein,,,,,,,,,,,,,https://www.rothenburg.de/,2026-08-02
1.2,EDFR:lake,EDFR,lake,Nein,,,,,,,,,,,,,https://www.rothenburg.de/,2026-08-02
1.2,EDFR:mountain,EDFR,mountain,Nein,,,,,,,,,,,,,https://www.rothenburg.de/,2026-08-02
1.2,EDFR:wellness,EDFR,wellness,Nein,,,,,,,,,,,,,https://www.rothenburg.de/,2026-08-02
1.2,EDGE:techstop,EDGE,techstop,Nein,,,,,,,,,,,,,,2026-08-02
1.2,EDGE:breakfast,EDGE,breakfast,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDGE:city,EDGE,city,Nein,,,,,,,,,,,,,,2026-08-04
1.2,EDGE:beach,EDGE,beach,Nein,,,,,,,,,,,,,https://www.eisenach.info/,2026-08-02
1.2,EDGE:lake,EDGE,lake,Nein,,,,,,,,,,,,,https://www.eisenach.info/,2026-08-02
1.2,EDGE:mountain,EDGE,mountain,Ja,Drachenschlucht Eisenach,Auto,19,50.955505,10.309742,12.25,191,64,19,Auto,19,Drachenschlucht Eisenach,https://www.eisenach.info/,2026-08-02
1.2,EDGE:wellness,EDGE,wellness,Nein,,,,,,,,,,,,,https://www.eisenach.info/,2026-08-02
1.2,EDGS:techstop,EDGS,techstop,Ja,"Technisch stark, meteorologisch weniger robust als Tieflandplätze.",,,,,,,,,,,"Technischer Knoten zwischen Rhein-Main, Ruhrgebiet und Mitteldeutschland",https://www.siegerland-airport.de/fuer-piloten/infos-fuer-piloten/,2026-08-03
1.2,EDGS:breakfast,EDGS,breakfast,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDGS:city,EDGS,city,Nein,,,,,,,,,,,,,,2026-08-04
1.2,EDGS:beach,EDGS,beach,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDGS:lake,EDGS,lake,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDGS:mountain,EDGS,mountain,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDGS:wellness,EDGS,wellness,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDHL:techstop,EDHL,techstop,Ja,Starker Nordknoten mit professioneller Infrastruktur.,,,,,,,,,,,"Norddeutscher Knoten für Ostsee, Dänemark, Skandinavien und Nord-Süd-Routen",https://www.flughafen-luebeck.de/de/technische-infos,2026-08-03
1.2,EDHL:breakfast,EDHL,breakfast,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDHL:city,EDHL,city,Nein,,,,,,,,,,,,,,2026-08-04
1.2,EDHL:beach,EDHL,beach,Nein,,,,,,,,,,,,,https://www.luebeck-tourismus.de/,2026-08-02
1.2,EDHL:lake,EDHL,lake,Ja,"Badestelle Groß Sarau, Ratzeburger See",Fahrrad,22,53.770134,10.740584,4.17,65,22,6,Fahrrad,22,"Badestelle Groß Sarau, Ratzeburger See",https://www.luebeck-tourismus.de/,2026-08-02
1.2,EDHL:mountain,EDHL,mountain,Nein,,,,,,,,,,,,,https://www.luebeck-tourismus.de/,2026-08-02
1.2,EDHL:wellness,EDHL,wellness,Nein,,,,,,,,,,,,,https://www.luebeck-tourismus.de/,2026-08-02
1.2,EDKA:techstop,EDKA,techstop,Nein,,,,,,,,,,,,,,2026-08-02
1.2,EDKA:breakfast,EDKA,breakfast,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDKA:city,EDKA,city,Nein,,,,,,,,,,,,,,2026-08-04
1.2,EDKA:beach,EDKA,beach,Nein,,,,,,,,,,,,,https://www.aachen-tourismus.de/,2026-08-02
1.2,EDKA:lake,EDKA,lake,Ja,"Blausteinsee, Eschweiler",Fahrrad,37,50.85298,6.275101,7.06,110,37,11,Fahrrad,37,"Blausteinsee, Eschweiler",https://www.aachen-tourismus.de/,2026-08-02
1.2,EDKA:mountain,EDKA,mountain,Nein,,,,,,,,,,,,,https://www.aachen-tourismus.de/,2026-08-02
1.2,EDKA:wellness,EDKA,wellness,Ja,Carolus Thermen Aachen,Fahrrad,40,50.782937,6.097521,7.68,120,40,12,Fahrrad,40,Carolus Thermen Aachen,https://www.aachen-tourismus.de/,2026-08-02
1.2,EDKB:techstop,EDKB,techstop,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDKB:breakfast,EDKB,breakfast,Ja,,,,,,,,,,,,,https://www.udets.de/,2026-08-03
1.2,EDKB:city,EDKB,city,Nein,,,,,,,,,,,,,,2026-08-04
1.2,EDKB:beach,EDKB,beach,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDKB:lake,EDKB,lake,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDKB:mountain,EDKB,mountain,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDKB:wellness,EDKB,wellness,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDKM:techstop,EDKM,techstop,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDKM:breakfast,EDKM,breakfast,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDKM:city,EDKM,city,Nein,,,,,,,,,,,,,,2026-08-04
1.2,EDKM:beach,EDKM,beach,Nein,,,,,,,,,,,,,https://www.meschede.de/freizeit-kultur/ferienregion-touristinfo,2026-08-03
1.2,EDKM:lake,EDKM,lake,Ja,Hennesee,Taxi/Fahrrad,12,,,7,,,,Taxi/Fahrrad,12,Hennesee,https://www.meschede.de/freizeit-kultur/ferienregion-touristinfo,2026-08-03
1.2,EDKM:mountain,EDKM,mountain,Ja,Sauerländer Berge und Wanderwege,Taxi/Fahrrad,10,,,5,,,,Taxi/Fahrrad,10,Sauerländer Berge und Wanderwege,https://www.meschede.de/freizeit-kultur/All,2026-08-03
1.2,EDKM:wellness,EDKM,wellness,Nein,,,,,,,,,,,,,https://www.meschede.de/freizeit-kultur/ferienregion-touristinfo,2026-08-03
1.2,EDLD:techstop,EDLD,techstop,Ja,Sehr brauchbarer westlicher Redundanzstopp.,,,,,,,,,,,Ruhrgebiets-Nordrand und Benelux-Knoten,https://schwarze-heide.com/fuer-piloten/oeffnungszeiten-und-ppr/,2026-08-03
1.2,EDLD:breakfast,EDLD,breakfast,Ja,,,,,,,,,,,,,https://www.ikarostaverneflugplatzschwarzeheide.com/,2026-08-03
1.2,EDLD:city,EDLD,city,Nein,,,,,,,,,,,,,,2026-08-04
1.2,EDLD:beach,EDLD,beach,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDLD:lake,EDLD,lake,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDLD:mountain,EDLD,mountain,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDLD:wellness,EDLD,wellness,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDLE:techstop,EDLE,techstop,Ja,Sehr guter NRW-Stopp mit breiten Betriebszeiten.,,,,,,,,,,,Zentraler Ruhrgebiets-Knoten mit langen Betriebszeiten,https://www.flughafen-essen-muelheim.de/piloten/allgemein,2026-08-03
1.2,EDLE:breakfast,EDLE,breakfast,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDLE:city,EDLE,city,Nein,,,,,,,,,,,,,,2026-08-04
1.2,EDLE:beach,EDLE,beach,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDLE:lake,EDLE,lake,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDLE:mountain,EDLE,mountain,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDLE:wellness,EDLE,wellness,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDLH:techstop,EDLH,techstop,Ja,"Günstig und angenehm, aber weniger planungssicher.",,,,,,,,,,,"NRW-Mitte-Knoten zwischen Ruhrgebiet, Münsterland und Ostwestfalen",https://www.flugplatz-hamm.de/lsc20/flugplatz/flugplatzinformationen,2026-08-03
1.2,EDLH:breakfast,EDLH,breakfast,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDLH:city,EDLH,city,Nein,,,,,,,,,,,,,,2026-08-04
1.2,EDLH:beach,EDLH,beach,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDLH:lake,EDLH,lake,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDLH:mountain,EDLH,mountain,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDLH:wellness,EDLH,wellness,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDLN:techstop,EDLN,techstop,Ja,"Sehr guter Fuel-and-Go-Platz, schwächer als Pausenstopp.",,,,,,,,,,,"Professioneller West-Knoten für Benelux, Rheinland und Ruhrgebiet",https://www.mgl.de/aviation/,2026-08-03
1.2,EDLN:breakfast,EDLN,breakfast,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDLN:city,EDLN,city,Nein,,,,,,,,,,,,,,2026-08-04
1.2,EDLN:beach,EDLN,beach,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDLN:lake,EDLN,lake,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDLN:mountain,EDLN,mountain,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDLN:wellness,EDLN,wellness,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDLS:techstop,EDLS,techstop,Ja,"Sehr ausgewogener Tank-, Pausen- und Streckenstopp.",,,,,,,,,,,"Westlicher Nord-Süd-Knoten für Benelux, Ruhrgebiet und Norddeutschland",https://www.flugplatz-stadtlohn.de/index.php?L=48&id=79,2026-08-03
1.2,EDLS:breakfast,EDLS,breakfast,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDLS:city,EDLS,city,Nein,,,,,,,,,,,,,,2026-08-04
1.2,EDLS:beach,EDLS,beach,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDLS:lake,EDLS,lake,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDLS:mountain,EDLS,mountain,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDLS:wellness,EDLS,wellness,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDMA:techstop,EDMA,techstop,Ja,"Verlässlich, aber nicht der preisgünstigste technische Stopp.",,,,,,,,,,,"Bayern-Knoten für Münchenraum, Alpen und Ost-West-Verkehr",https://www.augsburg-airport.de/piloten/,2026-08-03
1.2,EDMA:breakfast,EDMA,breakfast,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDMA:city,EDMA,city,Nein,,,,,,,,,,,,,,2026-08-04
1.2,EDMA:beach,EDMA,beach,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDMA:lake,EDMA,lake,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDMA:mountain,EDMA,mountain,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDMA:wellness,EDMA,wellness,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDME:techstop,EDME,techstop,Ja,Sehr starker einfacher Südost-Stopp.,,,,,,,,,,,"Ostbayern-Knoten zwischen München, Passau, Salzburg und Tschechien",https://flugsportverein-eggenfelden.de/unser-flugplatz/,2026-08-03
1.2,EDME:breakfast,EDME,breakfast,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDME:city,EDME,city,Nein,,,,,,,,,,,,,,2026-08-04
1.2,EDME:beach,EDME,beach,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDME:lake,EDME,lake,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDME:mountain,EDME,mountain,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDME:wellness,EDME,wellness,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDML:techstop,EDML,techstop,Ja,Technisch besonders wegen vier Kraftstoffoptionen wertvoll.,,,,,,,,,,,Südost-Knoten östlich von München mit breiter Kraftstoffauswahl,https://www.lsv-landshut.de/de/flugplatz/piloteninfos/,2026-08-03
1.2,EDML:breakfast,EDML,breakfast,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDML:city,EDML,city,Nein,,,,,,,,,,,,,,2026-08-04
1.2,EDML:beach,EDML,beach,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDML:lake,EDML,lake,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDML:mountain,EDML,mountain,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDML:wellness,EDML,wellness,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDMV:techstop,EDMV,techstop,Ja,Strategisch stärkster ergänzender Tankstopp im äußersten Südosten.,,,,,,,,,,,"Südost-Knoten für Ostbayern, Österreich und Tschechien",https://www.edmv.de/,2026-08-03
1.2,EDMV:breakfast,EDMV,breakfast,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDMV:city,EDMV,city,Nein,,,,,,,,,,,,,,2026-08-04
1.2,EDMV:beach,EDMV,beach,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDMV:lake,EDMV,lake,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDMV:mountain,EDMV,mountain,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDMV:wellness,EDMV,wellness,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDNH:techstop,EDNH,techstop,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDNH:breakfast,EDNH,breakfast,Ja,,,,,,,,,,,,,https://flugplatz-badwoerishofen.de/aero-cafe_hausgemachte-kuchen_sonnenterrasse,2026-08-03
1.2,EDNH:city,EDNH,city,Nein,,,,,,,,,,,,,,2026-08-04
1.2,EDNH:beach,EDNH,beach,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDNH:lake,EDNH,lake,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDNH:mountain,EDNH,mountain,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDNH:wellness,EDNH,wellness,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDNL:techstop,EDNL,techstop,Ja,Stärkster südwestlicher Fuel-and-Food-Stop.,,,,,,,,,,,"Allgäu-/Bodensee-Knoten für Südwest, Alpenrand und Österreich",https://www.ednl.de/,2026-08-03
1.2,EDNL:breakfast,EDNL,breakfast,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDNL:city,EDNL,city,Nein,,,,,,,,,,,,,,2026-08-04
1.2,EDNL:beach,EDNL,beach,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDNL:lake,EDNL,lake,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDNL:mountain,EDNL,mountain,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDNL:wellness,EDNL,wellness,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDPA:techstop,EDPA,techstop,Ja,"Gut, sofern die Tankstellenbesetzung vorher gesichert ist.",,,,,,,,,,,"Ostwürttemberg-Knoten zwischen Stuttgart, Nürnberg, Bayern und Bodensee",https://edpa.de/flugplatz-info/,2026-08-03
1.2,EDPA:breakfast,EDPA,breakfast,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDPA:city,EDPA,city,Nein,,,,,,,,,,,,,,2026-08-04
1.2,EDPA:beach,EDPA,beach,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDPA:lake,EDPA,lake,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDPA:mountain,EDPA,mountain,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDPA:wellness,EDPA,wellness,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDQA:techstop,EDQA,techstop,Nein,,,,,,,,,,,,,,2026-08-02
1.2,EDQA:breakfast,EDQA,breakfast,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDQA:city,EDQA,city,Nein,,,,,,,,,,,,,,2026-08-04
1.2,EDQA:beach,EDQA,beach,Nein,,,,,,,,,,,,,https://www.bamberg.info/sehenswertes/,2026-08-02
1.2,EDQA:lake,EDQA,lake,Nein,,,,,,,,,,,,,https://www.bamberg.info/sehenswertes/,2026-08-02
1.2,EDQA:mountain,EDQA,mountain,Nein,,,,,,,,,,,,,https://www.bamberg.info/sehenswertes/,2026-08-02
1.2,EDQA:wellness,EDQA,wellness,Nein,,,,,,,,,,,,,https://www.bamberg.info/sehenswertes/,2026-08-02
1.2,EDRK:techstop,EDRK,techstop,Ja,Sehr guter westlicher Stopp mit vollwertigem Essen.,,,,,,,,,,,"Westlicher Mittelachsen-Knoten zwischen Rhein-Main, Benelux und Südwest",https://flugplatz-koblenz-winningen.de/index.php/de/general-aviation/flugplatzinfo,2026-08-03
1.2,EDRK:breakfast,EDRK,breakfast,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDRK:city,EDRK,city,Nein,,,,,,,,,,,,,,2026-08-04
1.2,EDRK:beach,EDRK,beach,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDRK:lake,EDRK,lake,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDRK:mountain,EDRK,mountain,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDRK:wellness,EDRK,wellness,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDTD:techstop,EDTD,techstop,Ja,Sehr wertvoller südwestlicher Netzbaustein.,,,,,,,,,,,"Schwarzwald-/Oberrhein-Knoten für Schweiz, Bodensee und Südwest",https://donau-airport.de/piloteninformationen/,2026-08-03
1.2,EDTD:breakfast,EDTD,breakfast,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDTD:city,EDTD,city,Nein,,,,,,,,,,,,,,2026-08-04
1.2,EDTD:beach,EDTD,beach,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDTD:lake,EDTD,lake,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDTD:mountain,EDTD,mountain,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDTD:wellness,EDTD,wellness,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDTF:techstop,EDTF,techstop,Ja,Wichtiger geografischer TechStop trotz einfacher Pausenversorgung.,,,,,,,,,,,"Äußerster Südwest-Knoten für Oberrhein, Elsass, Basel und Schweizer Jura",https://freiburg-airport.de/infosfuerpiloten/,2026-08-03
1.2,EDTF:breakfast,EDTF,breakfast,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDTF:city,EDTF,city,Ja,Freiburger Altstadt und Münster,,,,,,,,,,,Freiburger Altstadt und Münster,,2026-08-04
1.2,EDTF:beach,EDTF,beach,Nein,,,,,,,,,,,,,https://visit.freiburg.de/,2026-08-02
1.2,EDTF:lake,EDTF,lake,Nein,,,,,,,,,,,,,https://visit.freiburg.de/,2026-08-02
1.2,EDTF:mountain,EDTF,mountain,Grenzfall,Schlossbergbahn Freiburg,Fahrrad,18,47.997168,7.857375,3.4,53,18,5,Fahrrad,18,Schlossbergbahn Freiburg,https://visit.freiburg.de/,2026-08-02
1.2,EDTF:wellness,EDTF,wellness,Nein,,,,,,,,,,,,,https://visit.freiburg.de/,2026-08-02
1.2,EDTY:techstop,EDTY,techstop,Ja,Solider professioneller Süddeutschland-Stopp.,,,,,,,,,,,"Süddeutscher Ost-West-Knoten zwischen Rhein, Franken und Bayern",https://www.edty.de/de/airport/pilot_information/approach_information/approach_information.php,2026-08-03
1.2,EDTY:breakfast,EDTY,breakfast,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDTY:city,EDTY,city,Nein,,,,,,,,,,,,,,2026-08-04
1.2,EDTY:beach,EDTY,beach,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDTY:lake,EDTY,lake,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDTY:mountain,EDTY,mountain,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDTY:wellness,EDTY,wellness,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDTZ:techstop,EDTZ,techstop,Nein,,,,,,,,,,,,,,2026-08-02
1.2,EDTZ:breakfast,EDTZ,breakfast,Nein,,,,,,,,,,,,,,2026-08-03
1.2,EDTZ:city,EDTZ,city,Nein,,,,,,,,,,,,,,2026-08-04
1.2,EDTZ:beach,EDTZ,beach,Nein,,,,,,,,,,,,,https://www.konstanz-info.com/,2026-08-02
1.2,EDTZ:lake,EDTZ,lake,Ja,"Strandbad Horn, Bodensee",Fahrrad,11,47.666757,9.214879,2.12,33,11,3,Fahrrad,11,"Strandbad Horn, Bodensee",https://www.konstanz-info.com/,2026-08-02
1.2,EDTZ:mountain,EDTZ,mountain,Nein,,,,,,,,,,,,,https://www.konstanz-info.com/,2026-08-02
1.2,EDTZ:wellness,EDTZ,wellness,Ja,Bodensee-Therme Konstanz,Fahrrad,11,47.664559,9.208961,2.04,32,11,3,Fahrrad,11,Bodensee-Therme Konstanz,https://www.konstanz-info.com/,2026-08-02
1.2,EDVI:techstop,EDVI,techstop,Ja,Sehr guter unkomplizierter Mittelgebirgs-Tankstopp.,,,,,,,,,,,"Kompakter Mitte-Stopp zwischen Ruhrgebiet, Hannover, Harz und Thüringen",https://www.flugplatz-hx.de/index.php/flugplatz/daten,2026-08-03
1.2,EDVI:breakfast,EDVI,breakfast,Ja,,,,,,,,,,,,,https://flugplatz-hx.de/index.php/flugplatz/gastronomie,2026-08-03
1.2,EDVI:city,EDVI,city,Nein,,,,,,,,,,,,,,2026-08-04
1.2,EDVI:beach,EDVI,beach,Nein,,,,,,,,,,,,,,2026-08-03
