schema_version,price_id,airport_id,fuel_type,fuel_label_raw,price_eur_per_litre,price_raw_text,price_checked_at,source
1.2,EDTM:AVGAS:20260815,EDTM,AVGAS,Avgas 100 LL,3.14,Avgas 100 LL 3.14 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDTM
1.2,EDTM:MOGAS_SUPER:20260815,EDTM,MOGAS_SUPER,Super Plus,2.69,Preis gültig ab 1. Juli 2026 laut Betreiber,2026-08-15,https://www.regio-airport-mengen.de/piloteninfo/tankstelle/
1.2,EDQH:AVGAS:20260815,EDQH,AVGAS,Avgas 100 LL,2.82,Avgas 100 LL 2.82 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDQH
1.2,EDQH:MOGAS_SUPER:20260815,EDQH,MOGAS_SUPER,Super 98 EN228,2.31,Bruttopreis gültig ab 1. Januar 2026 laut Betreiber,2026-08-15,https://flugplatz-herzogenaurach.de/en/fuel-prices-from-january-1st-2024/
1.2,EDWF:MOGAS_SUPER:20260816,EDWF,MOGAS_SUPER,Super 95,2.59,"Super 95 2,59 €/l brutto; Betreiberseite am 16.08.2026 geprüft",2026-08-16,https://flugplatz-leer-papenburg.de/aktuelles/
1.2,EDWC:MOGAS_SUPER:20260816,EDWC,MOGAS_SUPER,SuperPlus,2.49,SuperPlus 2.49 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDWC
1.2,EDAZ:MOGAS_SUPER:20260816,EDAZ,MOGAS_SUPER,SuperPlus,2.81,SuperPlus 2.81 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDAZ
1.2,EDWI:MOGAS_SUPER:20260816,EDWI,MOGAS_SUPER,SuperPlus,2.57,SuperPlus 2.57 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDWI
1.2,EDRK:MOGAS_SUPER:20260816,EDRK,MOGAS_SUPER,Super Plus,2.81,"Super Plus 2,81 €/l brutto; gültig ab 01.08.2026",2026-08-16,https://www.flugplatz-koblenz-winningen.de/index.php/de/
1.2,EDVI:MOGAS_SUPER:20260816,EDVI,MOGAS_SUPER,SuperPlus,2.69,SuperPlus 2.69 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDVI
1.2,EDGS:MOGAS_SUPER:20260816,EDGS,MOGAS_SUPER,SuperPlus,2.81,SuperPlus 2.81 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDGS
1.2,EDFM:MOGAS_SUPER:20260816,EDFM,MOGAS_SUPER,Mogas,2.40,Mogas 2.40 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDFM
1.2,EDML:MOGAS_SUPER:20260816,EDML,MOGAS_SUPER,Super Plus 98 E0,2.69,"Super Plus 98 E0 2,69 €/l brutto; Stand 06.05.2026",2026-08-16,https://der-fliegerclub.de/flugplatz/edml/
1.2,EDLD:MOGAS_SUPER:20260816,EDLD,MOGAS_SUPER,Super Plus,2.55,"Super Plus 2,55 €/l brutto; Preisstand 24.07.2026",2026-08-16,https://schwarze-heide.com/fuer-piloten/titelform/
1.2,EDPA:MOGAS_SUPER:20260816,EDPA,MOGAS_SUPER,Mogas,2.49,Mogas 2.49 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDPA
1.2,EDLE:MOGAS_SUPER:20260816,EDLE,MOGAS_SUPER,Super Plus,2.59,"Super Plus 2,59 €/l brutto; Preisstand 02.07.2026",2026-08-16,https://www.flughafen-essen-muelheim.de/piloten/dienstleistungen/benzinpreise/
1.2,EDLH:MOGAS_SUPER:20260816,EDLH,MOGAS_SUPER,SuperPlus,2.45,SuperPlus 2.45 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDLH
1.2,EDMB:MOGAS_SUPER:20260816,EDMB,MOGAS_SUPER,SuperPlus,2.35,SuperPlus 2.35 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDMB
1.2,EDXE:MOGAS_SUPER:20260816,EDXE,MOGAS_SUPER,Super Plus,2.45,"Super Plus 2,45 €/l brutto; Betreiberseite am 16.08.2026 geprüft",2026-08-16,https://edxe.de/hp/flugplatz/ausflugslokal-und-hotel-gets
1.2,EDLM:MOGAS_SUPER:20260816,EDLM,MOGAS_SUPER,SuperPlus,2.49,SuperPlus 2.49 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDLM
1.2,EDTM:MOGAS_SUPER:20260816,EDTM,MOGAS_SUPER,SuperPlus,2.81,SuperPlus 2.81 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDTM
1.2,EDQH:MOGAS_SUPER:20260816,EDQH,MOGAS_SUPER,SuperPlus,2.42,SuperPlus 2.42 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDQH
1.2,EDRY:MOGAS_SUPER:20260816,EDRY,MOGAS_SUPER,MOGAS,2.89,"MOGAS 2,89 €/l brutto; gültig ab 01.07.2026",2026-08-16,https://flugplatz-speyer.de/infos-entgelte/
1.2,EDTG:AVGAS:20260816,EDTG,AVGAS,Avgas 100 LL,2.99,Avgas 100 LL 2.99 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDTG
1.2,EDTG:MOGAS_SUPER:20260816,EDTG,MOGAS_SUPER,SuperPlus,2.36,SuperPlus 2.36 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDTG
1.2,EDTG:JET_A1:20260816,EDTG,JET_A1,Jet A-1,2.49,Jet A-1 2.49 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDTG
1.2,EDAH:AVGAS:20260816,EDAH,AVGAS,Avgas 100 LL,3.14,Avgas 100 LL 3.14 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDAH
1.2,EDAY:MOGAS_SUPER:20260816,EDAY,MOGAS_SUPER,Mogas,2.62,Mogas 2.62 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDAY
1.2,EDAY:AVGAS:20260816,EDAY,AVGAS,Avgas 100 LL,3.14,Avgas 100 LL 3.14 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDAY
1.2,EDFM:JET_A1:20260816,EDFM,JET_A1,Jet A-1,2.70,Jet A-1 2.70 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDFM
1.2,EDGE:JET_A1:20260816,EDGE,JET_A1,Jet A-1,2.89,Jet A-1 2.89 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDGE
1.2,EDGE:AVGAS:20260816,EDGE,AVGAS,Avgas 100 LL,2.83,Avgas 100 LL 2.83 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDGE
1.2,EDGE:MOGAS_SUPER:20260816,EDGE,MOGAS_SUPER,SuperPlus,2.65,SuperPlus 2.65 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDGE
1.2,EDHL:AVGAS:20260816,EDHL,AVGAS,Avgas 100 LL,3.53,Avgas 100 LL 3.53 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDHL
1.2,EDHL:UL91:20260816,EDHL,UL91,Avgas UL 91,3.47,Avgas UL 91 3.47 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDHL
1.2,EDKA:AVGAS:20260816,EDKA,AVGAS,Avgas 100 LL,3.14,Avgas 100 LL 3.14 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDKA
1.2,EDKA:JET_A1:20260816,EDKA,JET_A1,Jet A-1,3.18,Jet A-1 3.18 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDKA
1.2,EDKA:MOGAS_SUPER:20260816,EDKA,MOGAS_SUPER,SuperPlus,2.81,SuperPlus 2.81 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDKA
1.2,EDKB:AVGAS:20260816,EDKB,AVGAS,Avgas 100 LL,2.99,Avgas 100 LL 2.99 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDKB
1.2,EDKB:JET_A1:20260816,EDKB,JET_A1,Jet A-1,2.72,Jet A-1 2.72 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDKB
1.2,EDKB:MOGAS_SUPER:20260816,EDKB,MOGAS_SUPER,SuperPlus,2.55,SuperPlus 2.55 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDKB
1.2,EDLH:AVGAS:20260816,EDLH,AVGAS,Avgas 100 LL,2.89,Avgas 100 LL 2.89 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDLH
1.2,EDLM:JET_A1:20260816,EDLM,JET_A1,Jet A-1,3.08,Jet A-1 3.08 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDLM
1.2,EDLN:AVGAS:20260816,EDLN,AVGAS,Avgas 100 LL,3.24,Avgas 100 LL 3.24 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDLN
1.2,EDMA:AVGAS:20260816,EDMA,AVGAS,Avgas 100 LL,3.10,Avgas 100 LL 3.10 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDMA
1.2,EDMA:JET_A1:20260816,EDMA,JET_A1,Jet A-1,2.69,Jet A-1 2.69 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDMA
1.2,EDMB:JET_A1:20260816,EDMB,JET_A1,Jet A-1,3.03,Jet A-1 3.03 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDMB
1.2,EDMB:AVGAS:20260816,EDMB,AVGAS,Avgas 100 LL,2.94,Avgas 100 LL 2.94 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDMB
1.2,EDPA:AVGAS:20260816,EDPA,AVGAS,Avgas 100 LL,2.79,Avgas 100 LL 2.79 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDPA
1.2,EDQH:JET_A1:20260816,EDQH,JET_A1,Jet A-1,3.17,Jet A-1 3.17 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDQH
1.2,EDTD:JET_A1:20260816,EDTD,JET_A1,Jet A-1,3.18,Jet A-1 3.18 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDTD
1.2,EDTD:AVGAS:20260816,EDTD,AVGAS,Avgas 100 LL,3.14,Avgas 100 LL 3.14 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDTD
1.2,EDTF:MOGAS_SUPER:20260816,EDTF,MOGAS_SUPER,Mogas,2.35,Mogas 2.35 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDTF
1.2,EDTS:AVGAS:20260816,EDTS,AVGAS,Avgas 100 LL,3.14,Avgas 100 LL 3.14 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDTS
1.2,EDTS:JET_A1:20260816,EDTS,JET_A1,Jet A-1,3.18,Jet A-1 3.18 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDTS
1.2,EDTS:MOGAS_SUPER:20260816,EDTS,MOGAS_SUPER,SuperPlus,2.81,SuperPlus 2.81 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDTS
1.2,EDTY:AVGAS:20260816,EDTY,AVGAS,Avgas 100 LL,3.01,Avgas 100 LL 3.01 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDTY
1.2,EDTY:JET_A1:20260816,EDTY,JET_A1,Jet A-1,3.24,Jet A-1 3.24 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDTY
1.2,EDTZ:AVGAS:20260816,EDTZ,AVGAS,Avgas 100 LL,2.79,Avgas 100 LL 2.79 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDTZ
1.2,EDVI:JET_A1:20260816,EDVI,JET_A1,Jet A-1,2.69,Jet A-1 2.69 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDVI
1.2,EDVK:AVGAS:20260816,EDVK,AVGAS,Avgas 100 LL,3.14,Avgas 100 LL 3.14 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDVK
1.2,EDXO:AVGAS:20260816,EDXO,AVGAS,Avgas 100 LL,2.99,Avgas 100 LL 2.99 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDXO
1.2,EDXW:AVGAS:20260816,EDXW,AVGAS,Avgas 100 LL,3.13,Avgas 100 LL 3.13 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDXW
1.2,EDXW:JET_A1:20260816,EDXW,JET_A1,Jet A-1,3.21,Jet A-1 3.21 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EDXW
1.2,EHTX:JET_A1:20260816,EHTX,JET_A1,Jet A-1,2.89,Jet A-1 2.89 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EHTX
1.2,EHTX:AVGAS:20260816,EHTX,AVGAS,Avgas 100 LL,3.30,Avgas 100 LL 3.30 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EHTX
1.2,EHTX:MOGAS_SUPER:20260816,EHTX,MOGAS_SUPER,Mogas,3.00,Mogas 3.00 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/EHTX
1.2,ETSI:AVGAS:20260816,ETSI,AVGAS,Avgas 100 LL,2.90,Avgas 100 LL 2.90 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/ETSI
1.2,LDLO:JET_A1:20260816,LDLO,JET_A1,Jet A-1,2.80,Jet A-1 2.80 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/LDLO
1.2,LDLO:AVGAS:20260816,LDLO,AVGAS,Avgas 100 LL,1.80,Avgas 100 LL 1.80 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/LDLO
1.2,LIPV:AVGAS:20260816,LIPV,AVGAS,Avgas 100 LL,3.36,Avgas 100 LL 3.36 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/LIPV
1.2,LOSM:AVGAS:20260816,LOSM,AVGAS,AVGAS,1.00,AVGAS 1.00 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/LOSM
1.2,LOSM:MOGAS_SUPER:20260816,LOSM,MOGAS_SUPER,MOGAS,1.00,MOGAS 1.00 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/LOSM
1.2,LOWZ:MOGAS_SUPER:20260816,LOWZ,MOGAS_SUPER,SuperPlus,2.23,SuperPlus 2.23 EUR/l laut AeroPS-Platzrechner,2026-08-16,https://gat.aerops.com/prices/calculator/LOWZ
