schema_version,price_id,airport_id,fuel_type,fuel_label_raw,price_eur_per_litre,price_raw_text,price_checked_at,source
1.2,EDWC:MOGAS_SUPER:5,EDWC,MOGAS_SUPER,Super Plus,2.49,"AVGAS 2,59 €/l; Super Plus 2,49 €/l; Jet A1 2,69 €/l",2026-08-03,https://www.edwc.de/index.php/landegebuehren-ppr
1.2,EDWF:AVGAS:1,EDWF,AVGAS,AVGAS,2.59,"AVGAS 2,59 €/l; Super 95 2,59 €/l; Jet A1 2,89 €/l (recherchierter Betreiberstand)",2026-08-03,https://flugplatz-leer-papenburg.de/aktuelles/
1.2,EDWF:JET_A1:3,EDWF,JET_A1,Jet A1,2.89,"AVGAS 2,59 €/l; Super 95 2,59 €/l; Jet A1 2,89 €/l (recherchierter Betreiberstand)",2026-08-03,https://flugplatz-leer-papenburg.de/aktuelles/
1.2,EDWF:MOGAS_SUPER:2,EDWF,MOGAS_SUPER,Super 95,2.59,"AVGAS 2,59 €/l; Super 95 2,59 €/l; Jet A1 2,89 €/l (recherchierter Betreiberstand)",2026-08-03,https://flugplatz-leer-papenburg.de/aktuelles/
1.2,EDWI:AVGAS:10,EDWI,AVGAS,AVGAS,2.69,"AVGAS 2,69 €/l; Super Plus 2,36 €/l; Jet A1 2,90 €/l (30.06.2026)",2026-08-03,https://www.edwi.info/piloten/tankstelle.html
1.2,EDWI:JET_A1:12,EDWI,JET_A1,Jet A1,2.9,"AVGAS 2,69 €/l; Super Plus 2,36 €/l; Jet A1 2,90 €/l (30.06.2026)",2026-08-03,https://www.edwi.info/piloten/tankstelle.html
1.2,EDWI:MOGAS_SUPER:11,EDWI,MOGAS_SUPER,Super Plus,2.36,"AVGAS 2,69 €/l; Super Plus 2,36 €/l; Jet A1 2,90 €/l (30.06.2026)",2026-08-03,https://www.edwi.info/piloten/tankstelle.html
1.2,EHLE:AVGAS:20260803,EHLE,AVGAS,AVGAS 100LL,3.474,"AVGAS 100LL 3,474 €/l inkl. Steuern und MwSt.; Preisänderungen vorbehalten",2026-08-03,https://www.lelystadairport.nl/en/for-pilots/fuel/
1.2,EHLE:AVGAS_UL94:20260803,EHLE,AVGAS_UL94,AVGAS UL94,3.093,"AVGAS UL94 3,093 €/l inkl. Steuern und MwSt.; Preisänderungen vorbehalten",2026-08-03,https://www.lelystadairport.nl/en/for-pilots/fuel/
1.2,EHLE:JET_A1:20260803,EHLE,JET_A1,Jet A1,2.953,"Jet A1 2,953 €/l inkl. Steuern und MwSt.; Preisänderungen vorbehalten",2026-08-03,https://www.lelystadairport.nl/en/for-pilots/fuel/
