schema_version,techstop_id,airport_id,techstop_rank,techstop_score,region,strategic_network_role,ppr_operational_notes,landing_fee_text,fee_rating,fee_note,payment_raw,pilot_feedback,experience_basis,risks_disadvantages,techstop_summary,source_airport,source_fee,source_fuel,source_gastro,data_checked_at,confidence
1.2,EDVI,EDVI,11,9.1,Mitte,"Kompakter Mitte-Stopp zwischen Ruhrgebiet, Hannover, Harz und Thüringen",Versetzte Schwellen/LDA beachten; außerhalb PPR,Laut Entgeltordnung; Betrag vor Flug prüfen,niedrig,Typischer günstiger Verkehrslandeplatz; aktuelle Gebühr prüfen.,Vor Ort; Zahlungsart prüfen,positiv,Pilotenberichte beschreiben unkomplizierten Betrieb und einfache Zahlung,814-m-Bahn und reduzierte verfügbare Strecken je Richtung,Sehr guter unkomplizierter Mittelgebirgs-Tankstopp.,https://www.flugplatz-hx.de/index.php/flugplatz/daten,https://www.flugplatz-hx.de/index.html,https://www.flugplatz-hx.de/index.html,https://www.flugplatz-hx.de/index.html,2026-08-03,mittel bis hoch
1.2,EDME,EDME,12,9.1,Südost,"Ostbayern-Knoten zwischen München, Passau, Salzburg und Tschechien",PPR außerhalb Zeiten typischerweise mit Vorlauf,Laut Entgeltordnung; Betrag vor Flug prüfen,niedrig bis mittel,Keine Hinweise auf extreme Gebühren.,Vor Ort; Zahlungsweise prüfen,positiv,Pilotenberichte erwähnen gute Pizza/Pasta und hilfsbereiten Betrieb,Gastronomie Mo/Di geschlossen; PPR außerhalb Zeiten,Sehr starker einfacher Südost-Stopp.,https://flugsportverein-eggenfelden.de/unser-flugplatz/,https://flugsportverein-eggenfelden.de/unser-flugplatz/,https://flugsportverein-eggenfelden.de/unser-flugplatz/,https://www.pizzafiumicino.de/,2026-08-03,mittel bis hoch
1.2,EDGS,EDGS,13,9,West/Mitte,"Technischer Knoten zwischen Rhein-Main, Ruhrgebiet und Mitteldeutschland",RMZ/IFR- und Mischbetrieb; Platzhöhe und Wetter beachten,Laut Entgeltordnung; leichter SEP typischerweise niedriger zweistelliger Bereich,niedrig bis mittel,Exakten Betrag und Schallschutzklasse prüfen.,"Bar, Karte und aerops laut Betreiber",positiv,Technisch verlässlich; gute öffentliche Erfahrungen,"1.966 ft Platzhöhe, Mittelgebirgswetter und Dichtehöhe","Technisch stark, meteorologisch weniger robust als Tieflandplätze.",https://www.siegerland-airport.de/fuer-piloten/infos-fuer-piloten/,https://www.siegerland-airport.de/fuer-piloten/infos-fuer-piloten/,https://www.siegerland-airport.de/en/pilot-information/service-station-fuel/,https://www.siegerland-airport.de/unser-flughafen/restaurant/,2026-08-03,mittel bis hoch
1.2,EDTF,EDTF,14,9,Südwest,"Äußerster Südwest-Knoten für Oberrhein, Elsass, Basel und Schweizer Jura",Pistensperrung bei SC-Freiburg-Heimspielen ca. 2 h vorher bis 1 h nach Abpfiff; Warnweste,Laut Entgeltordnung; Betrag vor Flug prüfen,niedrig bis mittel,Keine Hinweise auf extreme Gebühren; Heimspiel-Sperrung ist operativ relevanter.,Vor Ort,positiv/unauffällig,Betreiberrecherche; keine wiederkehrenden relevanten Negativmuster,SC-Freiburg-Sperrzeiten; kein vollwertiges Flugplatzrestaurant,Wichtiger geografischer TechStop trotz einfacher Pausenversorgung.,https://freiburg-airport.de/infosfuerpiloten/,https://freiburg-airport.de/infosfuerpiloten/,https://freiburg-airport.de/,https://freiburg-airport.de/einrichtungen/,2026-08-03,hoch
1.2,EDBN,EDBN,15,8.9,Nordost,"Nordost-Knoten für Mecklenburg-Vorpommern, Ostsee und Polen",Regionalflughafen; Öffnung und PPR prüfen,Laut Entgeltordnung; Betrag vor Flug prüfen,niedrig bis mittel,Öffentliche Erfahrungen beschreiben den Platz als unkompliziert und eher günstig.,Vor Ort,positiv,Pilotenrecherche: unkomplizierter Fuel- und teilweise Zollstopp,Geringere Dichte an Alternativen im Nordosten; Öffnung vorab sichern,Sehr wichtiger Nordost-Netzknoten.,https://www.flughafen-neubrandenburg.de/index.php?Itemid=104&id=7&option=com_content&view=article,https://www.flughafen-neubrandenburg.de/,https://www.flughafen-neubrandenburg.de/,https://www.flughafen-neubrandenburg.de/,2026-08-03,mittel
1.2,EDHL,EDHL,16,8.9,Nord,"Norddeutscher Knoten für Ostsee, Dänemark, Skandinavien und Nord-Süd-Routen",Professioneller Regionalflughafen; Tower-/Apron-Verfahren beachten,Laut Flughafenentgeltordnung; eher mittel als Clubplatz,mittel,"Keine Hinweise auf exzessive GA-Kosten, aber Regionalflughafenstruktur.",Handling/Terminal,positiv,Pilotenberichte beschreiben Lübeck als brauchbaren professionellen GA-Stopp,Etwas mehr Flughafenablauf als kleiner Verkehrslandeplatz,Starker Nordknoten mit professioneller Infrastruktur.,https://www.flughafen-luebeck.de/de/technische-infos,https://www.flughafen-luebeck.de/de/technische-infos,https://www.flughafen-luebeck.de/de/technische-infos,https://www.flughafen-luebeck.de/,2026-08-03,mittel bis hoch
1.2,EDTY,EDTY,17,8.8,Süd/Mitte,"Süddeutscher Ost-West-Knoten zwischen Rhein, Franken und Bayern",RMZ/IFR-Verkehr und verfügbare LDA beachten,Laut Entgeltordnung ab 01.04.2025; Betrag vor Flug prüfen,niedrig bis mittel,"Gute Erfahrungen mit schneller, kosteneffizienter Abwicklung.",Vor Ort,positiv,"Pilotenrecherche: professionell, schnell und meist preislich vernünftig",Gastro nicht immer unmittelbar oder durchgehend verfügbar,Solider professioneller Süddeutschland-Stopp.,https://www.edty.de/de/airport/pilot_information/approach_information/approach_information.php,https://www.edty.de/de/airport/pilot_information/fee_schedule/fee_schedule.php,https://www.edty.de/de/airport/adolf_wuerth_airport/adolf_wuerth_airport.php,https://www.edty.de/,2026-08-03,mittel bis hoch
1.2,EDML,EDML,18,8.8,Südost,Südost-Knoten östlich von München mit breiter Kraftstoffauswahl,PPR außerhalb Zeiten; Segelflug-/Mischbetrieb beachten,Laut Entgeltordnung; Betrag vor Flug prüfen,niedrig bis mittel,Keine systemischen Kostenprobleme bekannt.,Vor Ort,überwiegend positiv,"Gute Infrastruktur; vereinzelt Kritik am Umgangston, kein systemisches Muster",900-m-Bahn; vereinzelte Servicekritik; Mischbetrieb,Technisch besonders wegen vier Kraftstoffoptionen wertvoll.,https://www.lsv-landshut.de/de/flugplatz/piloteninfos/,https://www.landen-in-landshut.de/,https://www.landen-in-landshut.de/spritpreise/aktuelle-preise/,https://www.landen-in-landshut.de/,2026-08-03,hoch
1.2,EDAY,EDAY,19,8.7,Ost,Berlin-Ost-Knoten und Alternative zu Schönhagen,Außerhalb PPR; RMZ/IFR- und Mischbetrieb beachten,Laut Entgeltordnung 2026 bzw. Gebührenrechner,niedrig bis mittel,Keine wiederkehrenden relevanten Gebührenbeschwerden.,Vor Ort,positiv,Professioneller Betreiber; gute öffentliche Pilotenbewertung,Berlin-Luftraum und Mischbetrieb,Gute redundante Ost-Station mit Mindestversorgung.,https://www.flugplatz-strausberg.de/flugplatz-informationen-ppr/,https://www.flugplatz-strausberg.de/entgelte-und-treibstoff/,https://www.flugplatz-strausberg.de/entgelte-und-treibstoff/,https://www.flugplatz-strausberg.de/,2026-08-03,mittel bis hoch
1.2,EDFM,EDFM,20,8.7,Südwest/Mitte,Rhein-Neckar-Knoten für Nord-Süd- und Ost-West-Strecken,Kontrollierter Stadtflugplatz; Verfahren und LDA-Einschränkungen beachten,Laut Entgeltordnung; Betrag vor Flug prüfen,mittel,City-Airport mit etwas höheren Kosten/Komplexität als Clubplatz.,Vor Ort,positiv bis gemischt,"Sehr gute Infrastruktur, aber kontrollierter City-Airport mit mehr Ablauf",Luftraumkomplexität und Gebühren höher als an kleinen Plätzen,"Sehr verlässlicher Kraftstoffstopp, nicht der billigste.",https://www.flugplatz-mannheim.de/privatpiloten/,https://www.flugplatz-mannheim.de/downloads-formulare/,https://www.flugplatz-mannheim.de/privatpiloten/,https://www.flugplatz-mannheim.de/,2026-08-03,hoch
1.2,EDLD,EDLD,21,8.6,West,Ruhrgebiets-Nordrand und Benelux-Knoten,PPR-/Betriebszeiten und Mischbetrieb prüfen,Laut Entgeltordnung; Betrag vor Flug prüfen,niedrig bis mittel,Keine relevanten Kostenwarnungen.,Vor Ort,positiv/unauffällig,Betreiber-/Pilotenrecherche ohne relevante Negativmuster,Ruhrgebietsluftraum und Mischbetrieb,Sehr brauchbarer westlicher Redundanzstopp.,https://schwarze-heide.com/fuer-piloten/oeffnungszeiten-und-ppr/,https://schwarze-heide.com/fuer-piloten/titelform/,https://schwarze-heide.com/fuer-piloten/titelform/,https://schwarze-heide.com/,2026-08-03,hoch
1.2,EDPA,EDPA,22,8.5,Süd,"Ostwürttemberg-Knoten zwischen Stuttgart, Nürnberg, Bayern und Bodensee",Fuel für Gäste regelmäßig nur während personell besetzter Zeiten,Laut Gebührentabelle; Betrag vor Flug prüfen,niedrig,Typischer kleiner Verkehrslandeplatz ohne extreme Gebühren.,Vor Ort; ggf. Tankchip,positiv,Gute GA-Eignung; keine relevanten Negativmuster,Kraftstoffabgabe für Besucher außerhalb besetzter Kernzeiten eingeschränkt,"Gut, sofern die Tankstellenbesetzung vorher gesichert ist.",https://edpa.de/flugplatz-info/,https://edpa.de/flugplatz-info/,https://edpa.de/flugplatz-info/,https://edpa.de/flugplatz-info/,2026-08-03,mittel bis hoch
1.2,ETSI,ETSI,23,8.4,Südost,"Technisch leistungsfähiger Knoten für Bayern, Tschechien und Österreich",Militärisch/ziviler Platz; zivile Abfertigung zwingend organisieren,Transparent; außerhalb Kernzeiten können Mindestentgelte relevant werden,mittel bis hoch außerhalb Kernzeit,Keine Anfluggebühr laut Betreiber; PPR-Service außerhalb Kernzeiten vorab bepreisen.,Handling/Terminal,sehr positiv,Eigene Nutzererfahrung; professionelle und transparente Abfertigung,Werktagsorientierte Kernzeiten und mögliche PPR-Mindestkosten,"Technisch exzellent, aber zeitlich weniger flexibel.",https://www.etsi-airport.de/,https://www.etsi-airport.de/,https://www.etsi-airport.de/,https://www.etsi-airport.de/,2026-08-03,mittel bis hoch
1.2,EDMA,EDMA,24,8.3,Süd,"Bayern-Knoten für Münchenraum, Alpen und Ost-West-Verkehr",Kontrollierter/regionaler Betrieb; PPR in Randzeiten,Laut Entgeltordnung; eher mittleres bis höheres Niveau,mittel bis hoch,"Lange Öffnungszeiten, aber Kosten vorab kalkulieren.",Vor Ort/Terminal,positiv bis gemischt,Sehr gute Infrastruktur; Kritik eher am Preisniveau,Höhere Kraftstoff-/Flughafenkosten und eingeschränkte Restauranttage,"Verlässlich, aber nicht der preisgünstigste technische Stopp.",https://www.augsburg-airport.de/piloten/,https://www.augsburg-airport.de/piloten/,https://www.augsburg-airport.de/piloten/,https://www.augsburg-airport.de/,2026-08-03,mittel bis hoch
1.2,EDLE,EDLE,25,8.2,West,Zentraler Ruhrgebiets-Knoten mit langen Betriebszeiten,Betrieb ohne Betriebsleiter möglich; Tankzugang für Gäste bestätigen,ca. 15–16 € bis 1.200 kg nach recherchiertem Tarifbild; aktuell prüfen,niedrig bis mittel,Exakte Lärmkategorie und Entgeltordnung maßgeblich.,Vor Ort,positiv,Jüngere Erfahrungen mit Betrieb ohne Betriebsleiter überwiegend positiv,Gastzugang zur Tankstelle vorher absichern,Sehr guter NRW-Stopp mit breiten Betriebszeiten.,https://www.flughafen-essen-muelheim.de/piloten/allgemein,https://www.flughafen-essen-muelheim.de/piloten/allgemein,https://www.flughafen-essen-muelheim.de/piloten/dienstleistungen/benzinpreise/,https://www.flughafen-essen-muelheim.de/besucher/gastronomie,2026-08-03,hoch
1.2,EDLH,EDLH,26,8.1,West/Mitte,"NRW-Mitte-Knoten zwischen Ruhrgebiet, Münsterland und Ostwestfalen",Tatsächlichen Platz-/Tankstatus vor Flug bestätigen; Betrieb ohne Betriebsleiter möglich,"ca. 8,50 € brutto bis 1.000 kg",sehr niedrig,Sehr günstiger kleiner Stopp; Tagesstatus wichtiger als die Gebühr.,Vor Ort,positiv,Gute Pausenqualität und günstige Gebühren; Betreiberstatus vorab klären,Keine Betriebspflicht; Restaurant montags geschlossen,"Günstig und angenehm, aber weniger planungssicher.",https://www.flugplatz-hamm.de/lsc20/flugplatz/flugplatzinformationen,https://www.flugplatz-hamm.de/lsc20/flugplatz/landegebuehren,https://www.flugplatz-hamm.de/lsc20/flugplatz/flugplatzinformationen,https://www.restaurant-am-flugplatz.de/kontakt/,2026-08-03,hoch
1.2,EDLN,EDLN,27,8,West,"Professioneller West-Knoten für Benelux, Rheinland und Ruhrgebiet",Kontrollierter Platz; aktuelle PPR-/Towerverfahren prüfen,Laut Entgeltordnung; eher mittleres Niveau,mittel,"Technisch gut, aber nicht als Billigstopp positioniert.",Terminal/Handling,sehr positiv technisch,"Eigene Nutzererfahrung; professionelle, unkomplizierte Abfertigung",Keine verlässliche öffentliche Gastronomie; etwas höhere Gebühren,"Sehr guter Fuel-and-Go-Platz, schwächer als Pausenstopp.",https://www.mgl.de/aviation/,https://www.mgl.de/wp-content/uploads/20250201_Entgeltordnung_Teil-I_genehmigt.pdf,https://www.mgl.de/aviation/,https://www.mgl.de/aviation/,2026-08-03,mittel bis hoch
1.2,EDLA,EDLA,28,8.2,West/Mitte,Sauerland-Knoten für West- und Mitteldeutschland,Betriebszeiten und PPR vorab prüfen,Aktuelle Gebühren beim Betreiber prüfen,mittel,Technisch gut nutzbarer Verkehrslandeplatz.,Vor Ort,positiv,Betreiberdaten und Lagebewertung,Betriebszeiten begrenzen spontane Nutzung,Technischer Zwischenstopp mit Sauerland-Naturzugang.,https://www.flugplatz-arnsberg-menden.de/en/aerodrome-data/,,,,2026-08-09,mittel
1.2,EDMB,EDMB,29,8.0,Süd,Oberschwaben-Knoten zwischen Stuttgart Bodensee und Allgäu,CTR Laupheim und versetzte Schwellen beachten,Aktuelle Gebühren beim Betreiber prüfen,mittel,Anflugbesonderheiten vorab prüfen.,Vor Ort,positiv,Betreiberdaten,Versetzte Schwellen und benachbarte CTR,Solider technischer Zwischenstopp in Oberschwaben.,https://edmb.de/fur-piloten/an-abflug/,,,,2026-08-09,hoch
1.2,EDVE,EDVE,30,8.4,Nord/Mitte,Professioneller Knoten für Niedersachsen und Nordostdeutschland,Kontrollierte Verfahren und Gebühren prüfen,Aktuelle Entgeltordnung prüfen,mittel,Sehr lange Hauptbahn und professionelle Infrastruktur.,Terminal,positiv technisch,Publizierte Flugplatzdaten,Höhere Komplexität als kleiner Verkehrslandeplatz,Leistungsfähiger technischer Zwischenstopp.,https://www.fhbwe.de/,,https://airportguide.com/airport/info/EDVE,,2026-08-09,mittel
1.2,EDXE,EDXE,31,8.3,Nordwest,"Münsterland-Knoten zwischen Ruhrgebiet, Niedersachsen und Nordseeküste","SUM Di–Fr 1100–1700, Sa/So/HOL 0800–1700 UTC; O/T PPR; WIN PPR. Tel. (05971) 70530",Aktuelle Gebühren beim Betreiber prüfen,niedrig,Kompakter Grasplatz mit Kraftstoffversorgung.,Vor Ort,positiv,AIP-Angaben und Betreiberinformationen,Graspiste; Segelflug- und Fallschirmsprungbetrieb; Winter nur PPR,Technischer Tankstopp mit 100LL und bleifreiem Super Plus.,https://edxe.de/hp/flugplatz/informationen-fuer-piloten/,,https://edxe.de/hp/flugplatz/informationen-fuer-piloten/,https://gets-am-flugplatz.de/,2026-08-13,hoch
1.2,EDLM,EDLM,32,8.5,West/Mitte,"Ruhrgebiets-Knoten zwischen Rheinland, Münsterland und Niedersachsen","SUM 0600–SS+30/2000; WIN 0730–SS+30 UTC; O/T PPR. OPS (02365) 9896-0/15",Aktuelle Gebühren und tagesaktuelle Kraftstoffpreise beim Betreiber prüfen,mittel,Asphaltbahn und drei Kraftstoffsorten; Zoll O/R möglich.,Vor Ort,positiv,AIP-Angaben und Betreiberinformationen,Fallschirmsprungbetrieb; Zoll nur O/R und für definierte Verkehrsarten,Leistungsfähiger technischer Zwischenstopp mit 100LL und Super Plus/Mogas.,https://xn--flugplatz-loemhle-g3b.de/wp-content/uploads/2024/12/Flugplatzdaten.pdf,,https://xn--flugplatz-loemhle-g3b.de/tanken/,,2026-08-13,hoch
1.2,ETHN,ETHN,31,7.9,Süd/Mitte,Knoten zwischen Rhein-Main Franken und Süddeutschland,Zivile Mitbenutzung; außerhalb Betriebszeiten PPR,Aktuelle Gebühren vor Flug prüfen,mittel,Betriebsstatus wegen militärischer Nutzung prüfen.,Vor Ort,positiv,Betreiberangaben,Militärisch-zivile Verfahren und PPR,Technischer Zwischenstopp mit langer Asphaltbahn.,https://www.flugplatz-ethn.de/Flugplatz/,,,https://www.flugplatz-ethn.de/Flugplatz,2026-08-09,hoch
