Land,Wetterregion,Ziel,ICAO,Weekend Score,Saison,Airport-Filter,NM direkt,Runway m,Belag,AVGAS,UL91,MOGAS,PPR,Transfer,Transfer min,Bike direkt,Nonstop,ETOPS NS,je Leg,ETOPS Leg,Gesamt 1 Stopp,ETA,Return EOBT,Highlights,Aktivitäten,Airport-Hinweis,Status,Quelle Airport,Quelle Tourismus
DK,Nordsee/Ostsee,Bornholm,EKRN,★★★★★,Sommer/Herbst,passt,389,2002,Asphalt,Ja,Nein,Nein,prüfen,Mietwagen/Bus,25,Nein,4:07,ROT,2:14,ORANGE,5:27,14:57,11:33,Gudhjem · Svaneke · Räuchereien · Klippen · Hammershus,Wandern · Rad · Strand · Tiere,Professioneller Regionalairport; aktuelle GA-Gebühr und AVGAS-Öffnung prüfen.,teilweise verifiziert,https://www.en.bornholms-lufthavn.dk/,https://bornholm.info/en/
DK,Nordsee/Ostsee,Sønderborg / Als,EKSB,★★★☆☆,Ganzjährig,passt,306,1795,Asphalt,Nein,Nein,Nein,PPR 2 h,Bus/Taxi/Mietwagen,20,Nein,3:18,ROT,1:49,GELB,4:37,14:07,12:23,Sund · Schloss · Augustenborg · Insel Als · Strände,Rad · Spaziergang · Wasser,Unscheduled traffic PPR; aktuell nur Jet A1 offiziell ausgewiesen.,verifiziert,https://sonderborg-lufthavn.dk/en/pilotinfo/operational-information/,https://www.visitsonderborg.com/
DK,Nordsee/Ostsee,Ærø,EKAE,★★★★★,Sommer,passt,305,789,Gras,Nein,Nein,Nein,PPR,Taxi / Hoteltransfer,15,Nein,3:17,ROT,1:48,GELB,4:37,14:07,12:23,Ærøskøbing · Marstal · Kapitänshäuser · Hafen · Strand,Rad · Strand · Wandern · Wasser,"Kein Tankstopp; PPR, Wind und Bodenzustand vor Abflug bestätigen.",verifiziert,https://www.aeroe-flyveplads.dk/,https://www.visitaeroe.com/
DE,Nordsee/Ostsee,Langeoog,EDWL,★★★★☆,Sommer/Herbst,passt,228,600,Betonsteine,Nein,Nein,Nein,prüfen,Inselbahn / zu Fuß,10,Nein,2:31,ORANGE,1:25,GRÜN,3:51,13:21,13:09,Autofreie Insel · Dünen · Watt · Strand · Fisch,Rad · Strand · Tiere · Wandern,"Kurze befestigte Bahn; Betriebszeiten und Wind prüfen, kein Kraftstoff.",teilweise verifiziert,https://www.flugplatz-langeoog.de/,https://www.langeoog.de/
DE,Nordsee/Ostsee,Juist,EDWJ,★★★★★,Sommer/Herbst,passt mit Vorbehalt,227,700,Betonsteinpflaster,Nein,Nein,Nein,UL PPR; außerhalb Zeiten,Kutsche / Fahrrad / zu Fuß,20,Ja,2:30,ORANGE,1:25,GRÜN,3:50,13:20,13:10,Autofreie Insel · Dünen · Wattenmeer · Strand · Flugplatzrestaurant,Rad · Strand · Wandern · Kutsche,"Befestigte Hauptbahn 07/25 mit 700 m; zusätzliche kurze Grasbahnen. Aktuelle AIP, Betriebszeiten, Wind, Abstellmöglichkeit und PPR-Pflicht vor Abflug prüfen; kein Kraftstoff ausgewiesen.",teilweise verifiziert,https://www.edwj.de/aerodrom-infos/,https://www.juist.de/auf-der-insel/poi/detail/flugplatz-juist
NL,Nordsee/Ostsee,Ameland,EHAL,★★★★☆,Sommer,mit Vorbehalt,229,800,Gras,Nein,Nein,Nein,saisonal/PPR,Taxi / Fahrradlieferung,15,Nein,2:31,ORANGE,1:26,GRÜN,3:51,13:21,13:09,Nes · Hollum · Dünen · Leuchtturm · Strand,Rad · Strand · Tiere · Wandern,Saisonaler Grasplatz; Öffnung und Bodenzustand sind entscheidend.,teilweise verifiziert,https://www.ehal.nl/,https://www.vvvameland.nl/en/
CZ,Böhmen,Karlovy Vary,LKKV,★★★★★,Ganzjährig,passt,184,2150,Asphalt,Ja,Nein,Nein,Fly & Visit,Transfer im Paket,15,Nein,2:04,GELB,1:12,GRÜN,3:24,12:54,13:36,Thermalbad · Kurwald · Diana-Bahn · Cafés · Kolonnaden,Wellness · Wald · Wandern,"Offizielles Fly-&-Visit-Paket mit Landung, Parken, Handling und Transfer.",verifiziert,https://www.airport-k-vary.cz/en/fly-and-visit/,https://www.karlovyvary.cz/en
CZ,Böhmen,Třeboň / Český Krumlov,LKCS,★★★★☆,Frühling–Herbst,mit Vorbehalt,253,2500,Beton,prüfen,Nein,Nein,prüfen,Mietwagen,35,Nein,2:46,ROT,1:33,GRÜN,4:06,13:36,12:54,Třeboň · Moorbad · Teiche · Český Krumlov · Wälder,Rad · Wald · Wellness · Spaziergang,"Regionalairport; Gebühren, GA-Prozess und Kolbenkraftstoff vorab bestätigen.",teilweise verifiziert,https://www.airport-cb.cz/,https://www.jiznicechy.cz/en/
FR,Atlantik/Frankreich,Granville,LFRF,★★★★☆,Frühling–Herbst,mit Vorbehalt,385,960,Asphalt,prüfen,Nein,Nein,saisonal/PPR,Taxi,15,Nein,4:05,ROT,2:12,ORANGE,5:25,14:55,11:35,Haute Ville · Gezeitenhafen · Chausey · Küstenpfade · Seafood,Küste · Wandern · Boot · Wasser,"Betriebszeiten, Zoll/Einreise und Kraftstoff schriftlich bestätigen.",teilweise verifiziert,https://www.aeroport-granville.fr/,https://www.tourisme-granville-terre-mer.com/en/
FR,Elsass/Vogesen,Colmar / Weinorte,LFGA,★★★★☆,Herbst/Winter,passt,116,1610,Asphalt,Ja,Nein,Nein,prüfen,Taxi/Mietwagen,10,Nein,1:24,GRÜN,0:52,GRÜN,2:43,12:13,14:17,Colmar · Eguisheim · Weinberge · Vogesen · Advent,Rad · Wandern · Wald · Wein,Öffentlicher Airport; PPR/Betriebszeiten und aktuelle AVGAS-Ausgabe prüfen.,teilweise verifiziert,https://colmar.aeroport.fr/,https://www.tourisme-colmar.com/en/
AT,Nordalpen,Salzburg / Gastein,LOWS,★★★★☆,Herbst/Winter,mit Vorbehalt,232,2750,Beton,Ja,Nein,Nein,prüfen,Bahn/Mietwagen,75,Nein,2:33,ORANGE,1:26,GRÜN,3:53,13:23,13:07,Bad Gastein · Therme · Wasserfall · Untersberg · Advent,Wellness · Wandern · Seilbahn,Verkehrsflughafen; Handling und aktuelle Gesamtkosten vor Buchung klären.,teilweise verifiziert,https://www.salzburg-airport.com/,https://www.gastein.com/en/
AT,Nordalpen,St. Johann in Tirol,LOIJ,★★★★★,Ganzjährig,passt,225,750,Asphalt,Ja,Nein,Ja,PPR,Taxi / Ort nah,10,Nein,2:29,ORANGE,1:24,GRÜN,3:49,13:19,13:11,Harschbichl · Kitzbüheler Alpen · Hütten · Winterwege · Almen,Wandern · Alm · Seilbahn · Wellness,PPR und alpine Verfahren beachten; Ziel beginnt kurz nach der Landung.,verifiziert,https://www.loij.at/,https://www.kitzbueheler-alpen.com/en/stjo/
CH,Alpen/Schweiz,Appenzell / Säntis / Bad Ragaz,LSZR,★★★★★,Ganzjährig,passt,159,1455,Asphalt,Ja,Nein,Nein,prüfen,Bus/Mietwagen,35,Nein,1:49,GELB,1:05,GRÜN,3:09,12:39,13:51,Appenzell · Säntis · Tamina Therme · Käse · Ebenalp,Seilbahn · Wandern · Wellness · Tiere,Professioneller GA-Zugang; Gebühren fairer als viele Schweizer Alternativen.,teilweise verifiziert,https://www.peoples.ch/fees-charges,https://www.appenzell.ch/en/
AT,Nordalpen,Hohenems / Bregenzerwald,LOIH,★★★★☆,Ganzjährig,passt,167,630,Asphalt,Ja,Nein,Ja,prüfen,Mietwagen,25,Nein,1:54,GELB,1:07,GRÜN,3:14,12:44,13:46,Karren · Rappenloch · Bregenzerwald · Käse · Wellness,Wandern · Wald · Seilbahn · Wellness,Kleiner GA-Platz; aktuelle Kraftstoff- und Tarifseite vor Flug prüfen.,teilweise verifiziert,https://www.loih.at/,https://www.bregenzerwald.at/en/
AT,Nordalpen,Zell am See,LOWZ,★★★★★,Ganzjährig,passt,244,780,Asphalt,Ja,Nein,Ja,prüfen,Taxi/Bus/Bike direkt,10,Ja,2:40,ROT,1:30,GRÜN,4:00,13:30,13:00,Zeller See · Schmittenhöhe · Kaprun · Tauern Spa · Hütten,Wasser · Wandern · Alm · Wellness · Rad,"AVGAS, Super Plus und Fahrräder direkt am Flugplatz aktuell ausgewiesen.",teilweise verifiziert,https://lowz.at/en/home-en/,https://www.zellamsee-kaprun.com/en
AT,Nordalpen,Innsbruck,LOWI,★★★★☆,Herbst/Winter,mit Vorbehalt,206,2000,Asphalt,Ja,Nein,Nein,Winter teils koordiniert,Bus F,15,Nein,2:18,ORANGE,1:19,GRÜN,3:37,13:07,13:23,Nordkette · Altstadt · Advent · Bergwege · Tiroler Küche,Seilbahn · Wandern · Wellness,"GA-Center vorhanden, aber Verkehrsflughafen mit höherem Kosten-/Verfahrensaufwand.",teilweise verifiziert,https://www.innsbruck-airport.com/en/business-aviation/,https://www.innsbruck.info/en/
SI,Steiermark/Slowenien,Maribor / Pohorje,LJMB,★★★★☆,Herbst/Winter,mit Vorbehalt,367,2500,Asphalt,prüfen,Nein,Nein,prüfen,Taxi/Mietwagen,25,Nein,3:54,ROT,2:07,GELB,5:14,14:44,11:46,Pohorje · Weinregion · Wald · Wellness · Gostilnas,Wald · Wandern · Seilbahn · Wein,"Betrieb, GA-Prozess und Kolbenkraftstoff tagesaktuell bestätigen.",teilweise verifiziert,https://www.mbx-airport.si/en/,https://www.visitmaribor.si/en/
IT,Südalpen/Italien,Bozen / Meran / Ritten,LIPB,★★★★★,Ganzjährig,mit Vorbehalt,246,1740,Asphalt,Nein,Nein,Nein,prüfen,Bus/Taxi/Mietwagen,20,Nein,2:42,ROT,1:31,GRÜN,4:01,13:31,12:59,Therme Meran · Rittenbahn · Waalwege · Törggelen · Seiser Alm,Wellness · Wandern · Seilbahn · Wein,Sehr starkes Ziel; offizielle Kraftstoffseite weist aktuell kein AVGAS aus.,teilweise verifiziert,https://www.bolzanoairport.it/en/,https://www.merano-suedtirol.it/en/
SI,Julische Alpen,Bled / Radovljica,LJBL,★★★★★,Frühling–Herbst,passt,324,1130,Asphalt,prüfen,Nein,Nein,PPR,Taxi,15,Nein,3:28,ROT,1:54,GELB,4:48,14:18,12:12,Bleder See · Vintgar · Bohinj · Julische Alpen · Radovljica,SUP · Wandern · Boot · Wasser,PPR; aktuelle Kraftstoffabgabe vor Abflug schriftlich bestätigen.,teilweise verifiziert,https://lesce-airport.si/,https://www.bled.si/en/
CH,Alpen/Schweiz,Sion / Leukerbad,LSGS,★★★★★,Herbst/Winter,mit Vorbehalt,227,2000,Asphalt,Ja,Ja,Nein,prüfen,Mietwagen/Transfer,60,Nein,2:30,ORANGE,1:25,GRÜN,3:50,13:20,13:10,Leukerbad-Thermen · Gemmi · Walliser Reben · Raclette · Berge,Therme · Seilbahn · Wandern · Wein,"Starkes Ziel, aber längerer Bodentransfer und Schweizer Kosten.",teilweise verifiziert,https://www.sionaeroport.ch/,https://leukerbad.ch/en/
CH,Alpen/Schweiz,Locarno,LSZL,★★★★☆,Frühling–Herbst,passt,230,800,Asphalt,Ja,Nein,Nein,PPR teils,Bus/Taxi,20,Nein,2:32,ORANGE,1:26,GRÜN,3:52,13:22,13:08,Lago Maggiore · Maggiatal · Verzascatal · Grotti · Baden,Wasser · Wandern · Wellness,"Betriebszeiten, militärische Nutzung und PPR vorab prüfen.",teilweise verifiziert,https://www4.ti.ch/dt/sg/sai/udac/temi/airport,https://www.ascona-locarno.com/en
IT,Südalpen/Italien,Trento / Levico,LIDT,★★★★★,Ganzjährig,passt,265,1130,Asphalt,Ja,prüfen,Ja,Nein,Taxi/Mietwagen,20,Nein,2:53,ROT,1:36,GRÜN,4:13,13:43,12:47,Levico Terme · Monte Bondone · Valsugana · Seen · Rifugi,Wellness · Wandern · Alm · See,"Aktueller Pilot Guide nennt GA-Zugang, Schneeräumung und mehrere Kraftstoffe.",teilweise verifiziert,https://www.trentinotrasporti.it/images/allegati/Aeroporto/Briefing_Packag_for_pilot_-_Trento_Airport.pdf,https://www.visittrentino.info/en
CH,Alpen/Schweiz,Lugano,LSZA,★★★★☆,Herbst/Winter,mit Vorbehalt,240,1415,Asphalt,Ja,Nein,Nein,prüfen,Taxi/Bahn,20,Nein,2:38,ROT,1:29,GRÜN,3:58,13:28,13:02,Monte Brè · Seeufer · Kastanienwald · Grotti · Spa,See · Wandern · Seilbahn · Wellness,Briefing/Qualification und Gebührenrechner vor Flug prüfen.,teilweise verifiziert,https://luganoairport.ch/,https://www.luganoregion.com/en
FR,Alpenseen,Duingt / Lac d’Annecy,LFLP,★★★★★,Frühling–Herbst,passt,256,1630,Asphalt,Ja,Nein,Nein,prüfen,Taxi/Mietwagen,35,Nein,2:48,ROT,1:34,GRÜN,4:07,13:37,12:53,Duingt · Lac d’Annecy · Radweg · Aravis · Baden,Wasser · SUP · Wandern · Rad,GA akzeptiert; Transfer nach Duingt sollte reserviert werden.,teilweise verifiziert,https://www.annecy-airport.com/,https://en.lac-annecy.com/
IT,Westalpen/Italien,Aosta / Pila,LIMW,★★★★☆,Herbst/Winter,mit Vorbehalt,256,1246,Asphalt,prüfen,Nein,Nein,PPR,Taxi/Mietwagen,20,Nein,2:48,ROT,1:34,GRÜN,4:07,13:37,12:53,Pila-Bahn · Alpenstadt · Täler · Bergwege · Spa,Seilbahn · Wandern · Wellness,"Alpine Verfahren, PPR, Gebühren und Kraftstoff vorher bestätigen.",teilweise verifiziert,https://www.aeroportoaosta.it/,https://www.lovevda.it/en
SI,Adria,Izola / Piran,LJPZ,★★★★★,Frühling–Herbst,passt,349,1200,Asphalt,Ja,Nein,Nein,prüfen,Taxi/E-Bike/Mietwagen direkt,0,Ja,3:43,ROT,2:02,GELB,5:03,14:33,11:57,Piran · Izola · Salinen · Parenzana · Adriaküste,Wasser · Rad · SUP · Wandern,GA-orientierter Platz; E-Bike-Angebot am Airport aktuell ausgewiesen.,teilweise verifiziert,https://www.portoroz-airport.si/en,https://www.portoroz.si/en/
HR,Kvarner,Krk / Vrbnik / Šilo,LDRI,★★★★☆,Frühling–Herbst,passt,386,2500,Asphalt,Ja,Nein,Nein,prüfen,Mietwagen direkt,20,Nein,4:06,ROT,2:13,ORANGE,5:25,14:55,11:35,Vrbnik · Šilo · Buchten · Konobas · Küstenwege,Wasser · Kajak · Wandern · Wein,Regionalairport auf Krk; Mietwagen für die kleinen Orte sinnvoll.,teilweise verifiziert,https://rijeka-airport.hr/en/,https://www.visitkrk.com/en/
HR,Kvarner,Mali Lošinj,LDLO,★★★★★,Frühling–Herbst,passt,412,900,Asphalt,Ja,Nein,Nein,PPR,Taxi/Shuttle,15,Nein,4:21,ROT,2:20,ORANGE,5:41,15:11,11:19,Pinienküste · Mali/Veli Lošinj · Buchten · Delfine · Konobas,SUP · Kajak · Wasser · Wandern · Tiere,PPR und Transfer reservieren; für zwei Nächte bereits lange Anreise.,verifiziert,https://www.airportmalilosinj.hr/,https://www.visitlosinj.hr/
