schema_version,airport_id,icao,airport_name,country_code,timezone_identifier,latitude_wgs84,longitude_wgs84,elevation_ft,distance_edfz_nm,reference_runway,runway_length_m,runway_width_m,runway_surface,grass_only_raw,runway_lda_m,airport_filter,ppr_status,ppr_ga_access,operating_notes,transfer_default,transfer_minutes,airport_note,verification_status,runway_confidence,data_conflict,runway_review_status,runway_review_note,infrastructure_note,source_airport,source_runway,source_coordinates,source_ppr,data_checked_at
1.2,EDHL,EDHL,Lübeck / Travemünde,DE,Europe/Berlin,53.8054,10.7192,53,250,07/25,2102,60,Asphalt,Nein,2102,aktiv – Qualitätsliste,PPR außerhalb Betriebszeiten,offen,,Mietwagen direkt,,"Restaurant liegt unmittelbar gegenüber dem Parkplatz, nicht airside.",teilweise verifiziert,hoch,app2drive-Angabe widersprüchlich; Sondernutzung 300-350 €/halbe Std.,nicht geprüft,,"Bahnhof 5–10 min zu Fuß, Bus 6 alle 30 min ins Zentrum. app2drive-Angabe widersprüchlich.",https://www.flughafen-luebeck.de/en/car-rental,https://www.flughafen-luebeck.de/de/technische-infos,"ARP, redaktionell erfasst – vor Publikation gegen AIP prüfen",https://de.airfield.directory/airfield/EDHL,2026-08-03
1.2,EDKA,EDKA,Aachen,DE,Europe/Berlin,50.8231,6.1864,623,91,07/25,1160,18,Asphalt,Nein,947,aktiv – Qualitätsliste,offen,offen,,Mietwagen direkt,,Aktuelle Öffnung vor Anflug kurz prüfen; einzelne ältere Verzeichnisse waren widersprüchlich.,teilweise verifiziert,hoch,LDA nur 947 m bei 1160 m physisch – 213 m Differenz,korrigiert,"1160 x 18 m physisch bestätigt, aber LDA nur 947 m – jetzt in eigenen Spalten.",,https://www.restaurant-albatros.com/,https://www.forschungsflugplatz.de/,"ARP, redaktionell erfasst – vor Publikation gegen AIP prüfen",,2026-08-02
1.2,EDKB,EDKB,Bonn-Hangelar,DE,Europe/Berlin,50.76889,7.163333,197,61,11/29,800,30,Beton,Nein,800,Frühstück,Innerhalb veröffentlichter Zeiten offen; aktuelle Verfahren prüfen,VFR-Verkehrslandeplatz; Platzrunde strikt beachten,,,,Udet’s öffnet am Wochenende morgens; Frühstücksangebot vor Abflug bestätigen.,Morgenöffnung verifiziert; Frühstücksangebot mit Sekundärquellen belegt,mittel bis hoch,,bestätigt,Längste Hartbelagpiste 11/29 als Referenz.,Udet’s Restaurant direkt am Platz.,https://www.flugplatz-hangelar.de/,https://raw.githubusercontent.com/davidmegginson/ourairports-data/main/runways.csv,"OurAirports-Datensatz, Stand 2026-08-03; vor Publikation gegen AIP prüfen",https://www.flugplatz-hangelar.de/,2026-08-03
1.2,EDKM,EDKM,Meschede-Schüren,DE,Europe/Berlin,51.302333,8.237333,1436,80,04/22,900,30,Asphalt,Nein,900,Passt mit Mittelgebirge/PPR-Verfahren,ALIS-Funkanruf gilt als PPR-Anmeldung; gewerbliche CAT-Anflüge 24 h PPR,Normaler VFR-GA-Betrieb täglich SR–SS; Verfahren und Betriebsleiterzeiten beachten,Betrieb teilweise ohne Betriebsleiter; keine reguläre Rettungs-/Feuerwehrbereitschaft. Start-/Landemeldung über AEROPS; Warnweste luftseitig Pflicht.,Taxi,12,Sauerländer Mittelgebirgslage nahe Hennesee; Frequenz/ALIS und aktuelle NOTAM prüfen. Tankstelle nur bei anwesendem Betriebsleiter.,redaktionell geprüft,hoch,,bestätigt,RWY 04/22 900 x 30 m Asphalt.,AVGAS; Restaurant Wolkenstürmer direkt am Platz; Warnwestenpflicht.,https://flugplatz-meschede.de/,https://flugplatz-meschede.de/platzinfo/,https://flugplatz-meschede.de/platzinfo/,https://flugplatz-meschede.de/oeffnungszeiten-flugplatz/,2026-08-03
1.2,EDLD,EDLD,Dinslaken/Schwarze Heide,DE,Europe/Berlin,51.6161,6.8653,213,110,08/26,1500,30,Asphalt,Nein,1500,TechStop,PPR,PPR,,,,Sehr brauchbarer westlicher Redundanzstopp. | Ruhrgebietsluftraum und Mischbetrieb,TechStop-Vorauswahl – Detailprüfung folgt,vorläufig,TechStop – Detailprüfung ausstehend,nicht geprüft,Pistenwert aus TechStop-Vorauswahl übernommen; AIP-Abgleich folgt.,Ja – AVGAS | Ja – Super Plus | Ikaros,https://schwarze-heide.com/fuer-piloten/oeffnungszeiten-und-ppr/,https://schwarze-heide.com/fuer-piloten/oeffnungszeiten-und-ppr/,ARP aus publizierter Luftfahrtdatenquelle – vor Publikation gegen AIP prüfen,https://schwarze-heide.com/fuer-piloten/oeffnungszeiten-und-ppr/,2026-08-03
1.2,EDLE,EDLE,Essen/Mülheim,DE,Europe/Berlin,51.403,6.9392,423,98,06/24,1553,45,Asphalt,Nein,1553,TechStop,Prüfen,Prüfen,,,,Sehr guter NRW-Stopp mit breiten Betriebszeiten. | Gastzugang zur Tankstelle vorher absichern,TechStop-Vorauswahl – Detailprüfung folgt,vorläufig,TechStop – Detailprüfung ausstehend,nicht geprüft,Pistenwert aus TechStop-Vorauswahl übernommen; AIP-Abgleich folgt.,Ja – AVGAS | Ja – Super Plus | Checkin Café,https://www.flughafen-essen-muelheim.de/piloten/allgemein,https://www.flughafen-essen-muelheim.de/piloten/allgemein,ARP aus publizierter Luftfahrtdatenquelle – vor Publikation gegen AIP prüfen,https://www.flughafen-essen-muelheim.de/piloten/allgemein,2026-08-03
1.2,EDLH,EDLH,Hamm-Lippewiesen,DE,Europe/Berlin,51.6897,7.8161,190,104,06/24,900,20,befestigte Blockbahn,Nein,900,TechStop,Prüfen,Prüfen,,,,"Günstig und angenehm, aber weniger planungssicher. | Keine Betriebspflicht; Restaurant montags geschlossen",TechStop-Vorauswahl – Detailprüfung folgt,vorläufig,TechStop – Detailprüfung ausstehend,nicht geprüft,Pistenwert aus TechStop-Vorauswahl übernommen; AIP-Abgleich folgt.,Ja – AVGAS | Ja – Super Plus | Keine weitere Sorte bestätigt | Restaurant am Flugplatz,https://www.flugplatz-hamm.de/lsc20/flugplatz/flugplatzinformationen,https://www.flugplatz-hamm.de/lsc20/flugplatz/flugplatzinformationen,ARP aus publizierter Luftfahrtdatenquelle – vor Publikation gegen AIP prüfen,https://www.flugplatz-hamm.de/lsc20/flugplatz/flugplatzinformationen,2026-08-03
1.2,EDLN,EDLN,Mönchengladbach,DE,Europe/Berlin,51.2303,6.5045,125,98,13/31,1200,30,Asphalt,Nein,1200,TechStop,PPR,PPR,,,,"Sehr guter Fuel-and-Go-Platz, schwächer als Pausenstopp. | Keine verlässliche öffentliche Gastronomie; etwas höhere Gebühren",TechStop-Vorauswahl – Detailprüfung folgt,vorläufig,TechStop – Detailprüfung ausstehend,nicht geprüft,Pistenwert aus TechStop-Vorauswahl übernommen; AIP-Abgleich folgt.,Ja – AVGAS | Nein | Swift 100R | Kein belastbar bestätigtes öffentliches Café,https://www.mgl.de/aviation/,https://www.mgl.de/aviation/,ARP aus publizierter Luftfahrtdatenquelle – vor Publikation gegen AIP prüfen,https://www.mgl.de/aviation/,2026-08-03
1.2,EDLS,EDLS,Stadtlohn-Vreden,DE,Europe/Berlin,51.9958,6.8407,157,131,11/29,1240,30,Asphalt,Nein,1240,TechStop,O/T PPR,"OPS/PPR Tel. (02563) 3333; Fax (02563) 2488; info@flugplatz-stadtlohn.de","SUM 0700–SS/1900 UTC; WIN 0800–SS UTC; O/T PPR. Einschränkungen siehe AD 1–6. CUST O/R 24 HR für Personenbeförderung im nichtgewerblichen oder Gelegenheitsverkehr.",,,"Sehr ausgewogener Tank-, Pausen- und Streckenstopp. POE: Ja, Zoll O/R 24 HR für die veröffentlichten Verkehrsarten. Restaurant montags geschlossen; Tagesstatus prüfen.",AIP-/Betreiberangaben geprüft,hoch,"Asymmetrische LDA: RWY 11 1200 m, RWY 29 1240 m",bestätigt,RWY 11/29 1240 x 30 m Asphalt; TORA/LDA 11 1240/1200 m und 29 1200/1240 m.,AVGAS 100LL und Super Plus 98/Mogas; Zoll O/R 24 HR; Restaurant am Platz.,https://www.flugplatz-stadtlohn.de/index.php?L=48&id=79,https://www.flugplatz-stadtlohn.de/index.php?L=48&id=79,https://www.flugplatz-stadtlohn.de/index.php?L=48&id=79,https://www.flugplatz-stadtlohn.de/index.php?L=48&id=79,2026-08-13
1.2,EDMA,EDMA,Augsburg,DE,Europe/Berlin,48.4252,10.9318,1515,143,07/25,1280,30,Asphalt,Nein,1280,TechStop,PPR außerhalb Betriebszeiten,PPR außerhalb Betriebszeiten,,,,"Verlässlich, aber nicht der preisgünstigste technische Stopp. | Höhere Kraftstoff-/Flughafenkosten und eingeschränkte Restauranttage",TechStop-Vorauswahl – Detailprüfung folgt,vorläufig,TechStop – Detailprüfung ausstehend,nicht geprüft,Pistenwert aus TechStop-Vorauswahl übernommen; AIP-Abgleich folgt.,Ja – AVGAS | Nicht bestätigt | Triebwerk / Snackautomat,https://www.augsburg-airport.de/piloten/,https://www.augsburg-airport.de/piloten/,ARP aus publizierter Luftfahrtdatenquelle – vor Publikation gegen AIP prüfen,https://www.augsburg-airport.de/piloten/,2026-08-03
1.2,EDME,EDME,Eggenfelden,DE,Europe/Berlin,48.3961667,12.7236667,1342,203,09/27,1160,23,Asphalt,Nein,1160,TechStop,PPR außerhalb Betriebszeiten,PPR außerhalb Betriebszeiten,,,,Sehr starker einfacher Südost-Stopp. | Gastronomie Mo/Di geschlossen; PPR außerhalb Zeiten,TechStop-Vorauswahl – Detailprüfung folgt,vorläufig,TechStop – Detailprüfung ausstehend,nicht geprüft,Pistenwert aus TechStop-Vorauswahl übernommen; AIP-Abgleich folgt.,Ja – AVGAS 100LL | Nicht bestätigt | Pizzeria Fiumicino,https://flugsportverein-eggenfelden.de/unser-flugplatz/,https://flugsportverein-eggenfelden.de/unser-flugplatz/,ARP N48°23.77' E012°43.42' – publizierte Luftfahrtdaten; Detailprüfung folgt,https://flugsportverein-eggenfelden.de/unser-flugplatz/,2026-08-03
1.2,EDML,EDML,Landshut,DE,Europe/Berlin,48.511665,12.033333,1312,176,06/24,900,23,Asphalt,Nein,900,TechStop,PPR außerhalb Betriebszeiten,PPR außerhalb Betriebszeiten,,,,Technisch besonders wegen vier Kraftstoffoptionen wertvoll. | 900-m-Bahn; vereinzelte Servicekritik; Mischbetrieb,TechStop-Vorauswahl – Detailprüfung folgt,vorläufig,TechStop – Detailprüfung ausstehend,nicht geprüft,Pistenwert aus TechStop-Vorauswahl übernommen; AIP-Abgleich folgt.,Ja – AVGAS | Ja – Super Plus 98 E0 | Swift 100R | Fliegerpfandl,https://www.lsv-landshut.de/de/flugplatz/piloteninfos/,https://www.lsv-landshut.de/de/flugplatz/piloteninfos/,"ARP N48°30'42"" E012°01'59"" – Betreiberangabe; Detailprüfung folgt",https://www.lsv-landshut.de/de/flugplatz/piloteninfos/,2026-08-03
1.2,EDMV,EDMV,Passau-Vilshofen,DE,Europe/Berlin,48.6351667,13.1956667,991,213,12/30,1138,20,Asphalt,Nein,1138,TechStop,PPR außerhalb Betriebszeiten,PPR außerhalb Betriebszeiten,,,,Strategisch stärkster ergänzender Tankstopp im äußersten Südosten. | Gastronomie Mo/Di geschlossen; genaue Kraftstoffsorte und Preis bestätigen,TechStop-Vorauswahl – Detailprüfung folgt,vorläufig,TechStop – Detailprüfung ausstehend,nicht geprüft,Pistenwert aus TechStop-Vorauswahl übernommen; AIP-Abgleich folgt.,Ja – AVGAS vorhanden | Nicht bestätigt | Weitere Sorten vorab bestätigen | Flugplatzrestaurant Vilshofen,https://www.edmv.de/,https://www.edmv.de/,ARP N48°38.11' E013°11.74' – publizierte Luftfahrtdaten; Detailprüfung folgt,https://www.edmv.de/,2026-08-03
1.2,EDNH,EDNH,Bad Wörishofen-Nord,DE,Europe/Berlin,48.016124,10.615025,2034,152,08/26,805,30,Gras,Ja,615,Frühstück,PPR / AIP prüfen,Flugbetrieb nach AIP; aktuelle Freigabe vor Abflug prüfen,,,,Beliebtes Fliegerfrühstück im Aero-Café direkt am Platz.,Frühstück verifiziert; technische Basis aus publizierten Luftfahrtdaten,mittel bis hoch,,bestätigt,Längste veröffentlichte Piste 08/26 als Referenz.,Aero-Café am Platz; Wochenend-Frühstück.,https://flugplatz-badwoerishofen.de/,https://raw.githubusercontent.com/davidmegginson/ourairports-data/main/runways.csv,"OurAirports-Datensatz, Stand 2026-08-03; vor Publikation gegen AIP prüfen",https://flugplatz-badwoerishofen.de/,2026-08-03
1.2,EDNL,EDNL,Leutkirch-Unterzeil,DE,Europe/Berlin,47.8588333,10.0143333,2205,147,06/24,960,20,Asphalt,Nein,960,TechStop,PPR,PPR,,,,Stärkster südwestlicher Fuel-and-Food-Stop. | Platzhöhe und sommerliche Dichtehöhe; Öffnungszeiten saisonabhängig,TechStop-Vorauswahl – Detailprüfung folgt,vorläufig,TechStop – Detailprüfung ausstehend,nicht geprüft,Pistenwert aus TechStop-Vorauswahl übernommen; AIP-Abgleich folgt.,Ja – AVGAS 100LL | Ja – Super Plus | Müller’s Fliegerstube,https://www.ednl.de/,https://www.ednl.de/,ARP N47°51.53' E010°00.86' – publizierte Luftfahrtdaten; Detailprüfung folgt,https://www.ednl.de/,2026-08-03
1.2,EDPA,EDPA,Aalen-Heidenheim/Elchingen,DE,Europe/Berlin,48.7778,10.2647,1916,109,09/27,1000,25,Asphalt,Nein,1000,TechStop,Prüfen,Prüfen,Kraftstoff für Gäste regelmäßig nur während personell besetzter Zeiten.,,,"Gut, sofern die Tankstellenbesetzung vorher gesichert ist. | Kraftstoffabgabe für Besucher außerhalb besetzter Kernzeiten eingeschränkt",TechStop-Vorauswahl – Detailprüfung folgt,vorläufig,TechStop – Detailprüfung ausstehend,nicht geprüft,Pistenwert aus TechStop-Vorauswahl übernommen; AIP-Abgleich folgt.,Ja – AVGAS | Ja – Super Plus | Flugplatzrestaurant,https://edpa.de/flugplatz-info/,https://edpa.de/flugplatz-info/,ARP aus publizierter Luftfahrtdatenquelle – vor Publikation gegen AIP prüfen,https://edpa.de/flugplatz-info/,2026-08-03
1.2,EDQA,EDQA,Bamberg / UNESCO-Altstadt,DE,Europe/Berlin,49.92,10.9142,811,107,03/21,1104,24,Asphalt,Nein,1104,aktiv – Qualitätsliste,PPR,PPR,,Taxi/ÖPNV/Transfer prüfen,,Online-PPR dauerhaft anzeigen; aktuelle AIP/NOTAM bleiben maßgeblich. | Nur 1 NM nordöstlich des Stadtzentrums. Nach aktueller Betreiberinformation Online-PPR für alle An- und Abflüge; AVGAS 100LL vorhanden.,redaktionell geprüft,hoch,,nicht geprüft,,,https://aeroclub-bamberg.de/gaststaette/,https://edqa.de/pages/info,"ARP, redaktionell erfasst – vor Publikation gegen AIP prüfen",INTERN: Airport-Hinweis der Zeile,2026-08-02
1.2,EDRK,EDRK,Koblenz-Winningen,DE,Europe/Berlin,50.3256,7.5286,640,32,06/24,1175,20,Asphalt,Nein,1175,TechStop,PPR außerhalb Betriebszeiten,PPR außerhalb Betriebszeiten,,,,Sehr guter westlicher Stopp mit vollwertigem Essen. | Strikte Lärmschutzverfahren und topografische Lage,TechStop-Vorauswahl – Detailprüfung folgt,vorläufig,TechStop – Detailprüfung ausstehend,nicht geprüft,Pistenwert aus TechStop-Vorauswahl übernommen; AIP-Abgleich folgt.,Ja – AVGAS 100LL | Ja – Super Plus | Restaurant Delphi,https://flugplatz-koblenz-winningen.de/index.php/de/general-aviation/flugplatzinfo,https://flugplatz-koblenz-winningen.de/index.php/de/general-aviation/flugplatzinfo,ARP aus publizierter Luftfahrtdatenquelle – vor Publikation gegen AIP prüfen,https://flugplatz-koblenz-winningen.de/index.php/de/general-aviation/flugplatzinfo,2026-08-03
1.2,EDTD,EDTD,Donaueschingen-Villingen,DE,Europe/Berlin,47.9735194,8.5221111,2231,121,18/36,1290,30,Asphalt,Nein,1290,TechStop,Prüfen,Prüfen,,,,Sehr wertvoller südwestlicher Netzbaustein. | Hohe Platzlage; RMZ und Winterwetter,TechStop-Vorauswahl – Detailprüfung folgt,vorläufig,TechStop – Detailprüfung ausstehend,nicht geprüft,Pistenwert aus TechStop-Vorauswahl übernommen; AIP-Abgleich folgt.,Ja – AVGAS 100LL | Nicht bestätigt | Sombea,https://donau-airport.de/piloteninformationen/,https://donau-airport.de/piloteninformationen/,ARP 47.973519 / 8.522111 – publizierte Luftfahrtdaten; Detailprüfung folgt,https://donau-airport.de/piloteninformationen/,2026-08-03
1.2,EDTF,EDTF,Freiburg / Altstadt / Schlossberg,DE,Europe/Berlin,48.0228,7.8325,799,117,16/34,1338,30,Asphalt,Nein,1040,aktiv – Qualitätsliste,PPR außerhalb Betriebszeiten,PPR außerhalb Betriebszeiten,Pistensperrung bei Heimspielen des SC Freiburg etwa 2 Stunden vor Spielbeginn bis 1 Stunde nach Abpfiff; Warnweste Pflicht.,Fahrrad direkt,,"Pistensperrung an SC-Freiburg-Heimspieltagen und Warnwestenpflicht dauerhaft anzeigen. | Straßenbahn, Bus, Bahn und Fahrrad sind verfügbar. Warnweste auf dem Vorfeld erforderlich; Pistensperrungen an Heimspieltagen des SC Freiburg beachten.",redaktionell geprüft,hoch,,nicht geprüft,,,https://freiburg-airport.de/,https://freiburg-airport.de/infosfuerpiloten/,"ARP, redaktionell erfasst – vor Publikation gegen AIP prüfen",INTERN: Airport-Hinweis der Zeile,2026-08-03
1.2,EDTY,EDTY,Schwäbisch Hall-Hessental,DE,Europe/Berlin,49.1183,9.784,1300,82,10/28,1540,30,Beton,Nein,1540,TechStop,Prüfen,Prüfen,,,,Solider professioneller Süddeutschland-Stopp. | Gastro nicht immer unmittelbar oder durchgehend verfügbar,TechStop-Vorauswahl – Detailprüfung folgt,vorläufig,TechStop – Detailprüfung ausstehend,nicht geprüft,Pistenwert aus TechStop-Vorauswahl übernommen; AIP-Abgleich folgt.,Ja – AVGAS | Nicht bestätigt | Gastronomie in kurzer Laufnähe,https://www.edty.de/de/airport/pilot_information/approach_information/approach_information.php,https://www.edty.de/de/airport/pilot_information/approach_information/approach_information.php,ARP aus publizierter Luftfahrtdatenquelle – vor Publikation gegen AIP prüfen,https://www.edty.de/de/airport/pilot_information/approach_information/approach_information.php,2026-08-03
1.2,EDTZ,EDTZ,Konstanz / Bodensee,DE,Europe/Berlin,47.6803,9.195,1302,144,12/30,1000,27,Gras,Ja,1000,aktiv – Qualitätsliste,PPR außerhalb Betriebszeiten,offen,,Fahrrad direkt,,"Biergarten, Strandbad und Innenstadt sind mit dem Rad sehr gut erreichbar.",teilweise verifiziert,mittel,,unbestätigt,1000 m Gras durch keine Quelle bestätigt.,Fahrrad bestätigt: ca. 20 Leihräder am Tower.,https://www.flugplatz-konstanz.de/informationen/fuer-piloten,https://raw.githubusercontent.com/davidmegginson/ourairports-data/main/runways.csv,"ARP, redaktionell erfasst – vor Publikation gegen AIP prüfen",https://www.flugplatz-konstanz.de/informationen/fuer-piloten,2026-08-02
